18316,Lychee,+1 add-in,Bubble Juice,2026-07-17 17:03:00.0000000,6.98,191631,TO GO,NULL,Cash,17,Friday
18317,BBQ Pork Spring Roll,NULL,Appetizer,2026-07-17 17:05:00.0000000,4.99,191632,TO GO,NULL,Cash,17,Friday
18318,Spring Roll,NULL,Appetizer,2026-07-17 17:07:00.0000000,3.25,191633,TO GO,NULL,Credit Card,17,Friday
18319,Chicken & Pork,NULL,Grilled & Wok,2026-07-17 17:07:00.0000000,16.49,191633,TO GO,NULL,Credit Card,17,Friday
1832,Spring Roll,NULL,Appetizer,2026-06-06 22:06:00.0000000,3.25,185878,TO GO,NULL,Credit Card,22,Saturday
18320,Brisket,Large,Pho,2026-07-17 17:07:00.0000000,15.99,191633,TO GO,NULL,Credit Card,17,Friday
18321,Steak,Large,Pho,2026-07-17 17:07:00.0000000,15.99,191633,TO GO,NULL,Credit Card,17,Friday
18322,Kid's Meal,NULL,Kid's Meal,2026-07-17 17:07:00.0000000,10.99,191633,TO GO,NULL,Credit Card,17,Friday
18323,TOGO,NULL,TOGO,2026-07-17 17:07:00.0000000,0.5,191633,TO GO,NULL,Credit Card,17,Friday
18324,TOGO,NULL,TOGO,2026-07-17 17:07:00.0000000,0.5,191633,TO GO,NULL,Credit Card,17,Friday
18325,Steak & Tripe,Small,Pho,2026-07-17 17:08:00.0000000,14.99,191634,TO GO,NULL,Credit Card,17,Friday
18326,Spring Roll,NULL,Appetizer,2026-07-17 17:13:00.0000000,3.25,191635,TABLE,B3,Cash,17,Friday
18327,Fried Roll,NULL,Appetizer,2026-07-17 17:13:00.0000000,3.25,191635,TABLE,B3,Cash,17,Friday
18328,Chicken Fried Rice,NULL,Fried Rice,2026-07-17 17:13:00.0000000,15.49,191635,TABLE,B3,Cash,17,Friday
18329,Spring Roll,NULL,Appetizer,2026-07-17 17:13:00.0000000,3.25,191635,TABLE,B3,Cash,17,Friday
1833,Spring Roll,NULL,Appetizer,2026-06-06 22:13:00.0000000,3.25,185879,TO GO,NULL,Credit Card,22,Saturday
18330,lemonade,NULL,Coffee & Drinks,2026-07-17 17:13:00.0000000,3.29,191635,TABLE,B3,Cash,17,Friday
18331,Pepsi,NULL,Coffee & Drinks,2026-07-17 17:13:00.0000000,3.29,191635,TABLE,B3,Cash,17,Friday
18332,"Brisket, Fatty, Flank & Tendon",Large,Pho,2026-07-17 17:15:00.0000000,15.99,191636,TO GO,NULL,Cash,17,Friday
18333,Spring Roll,NULL,Appetizer,2026-07-17 17:17:00.0000000,3.25,191637,TABLE,A4,Credit Card,17,Friday
18334,Prawn & Pork,NULL,Noodle Salad Bowl,2026-07-17 17:18:00.0000000,15.99,191638,TO GO,NULL,Credit Card,17,Friday
18335,TOGO,NULL,TOGO,2026-07-17 17:18:00.0000000,0.5,191638,TO GO,NULL,Credit Card,17,Friday
18336,Chicken & Beef,NULL,Grilled & Wok,2026-07-17 17:19:00.0000000,16.49,191639,TABLE,A3,Cash,17,Friday
18337,Hot Tea,NULL,Coffee & Drinks,2026-07-17 17:19:00.0000000,1.99,191639,TABLE,A3,Cash,17,Friday
18338,Brisket,Small,Pho,2026-07-17 17:23:00.0000000,14.99,191640,TABLE,A1,Credit Card,17,Friday
18339,BBQ Pork,NULL,French Bread,2026-07-17 17:25:00.0000000,8.99,191641,TO GO,NULL,Credit Card,17,Friday
1834,"Brisket, Fatty, Flank & Tendon",Large,Pho,2026-06-06 22:13:00.0000000,15.99,185879,TO GO,NULL,Credit Card,22,Saturday
18340,Spring Roll,NULL,Appetizer,2026-07-17 17:26:00.0000000,3.25,191642,TO GO,NULL,Credit Card,17,Friday
18341,Vege & Tofu,Large,Pho,2026-07-17 17:26:00.0000000,15.99,191642,TO GO,NULL,Credit Card,17,Friday
18342,Steak,Large,Pho,2026-07-17 17:26:00.0000000,15.99,191642,TO GO,NULL,Credit Card,17,Friday
18343,TOGO,NULL,TOGO,2026-07-17 17:26:00.0000000,0.5,191642,TO GO,NULL,Credit Card,17,Friday
18344,Fried Roll,NULL,Appetizer,2026-07-17 17:27:00.0000000,3.25,191643,TO GO,NULL,Credit Card,17,Friday
18345,Steak & Brisket,Large,Pho,2026-07-17 17:28:00.0000000,15.99,191644,TABLE,A5,Credit Card,17,Friday
18346,Fried Roll,NULL,Appetizer,2026-07-17 17:28:00.0000000,3.25,191644,TABLE,A5,Credit Card,17,Friday
18347,Brisket,Small,Pho,2026-07-17 17:31:00.0000000,14.99,191645,TABLE,C1,Cash,17,Friday
18348,Thai Tea,NULL,Coffee & Drinks,2026-07-17 17:32:00.0000000,5.99,191646,TO GO,NULL,Credit Card,17,Friday
18349,(6pcs),NULL,Appetizer,2026-07-17 17:32:00.0000000,8.49,191646,TO GO,NULL,Credit Card,17,Friday
1835,Shrimp Fried Rice,NULL,Fried Rice,2026-06-06 22:13:00.0000000,15.49,185879,TO GO,NULL,Credit Card,22,Saturday
18350,Kiwi,+1 add-in,Bubble Juice,2026-07-17 17:32:00.0000000,6.98,191646,TO GO,NULL,Credit Card,17,Friday
18351,Dr Pepper,NULL,Coffee & Drinks,2026-07-17 17:32:00.0000000,3.29,191646,TO GO,NULL,Credit Card,17,Friday
18352,Tofu & Noodles,NULL,Noodle Salad Bowl,2026-07-17 17:32:00.0000000,15.99,191646,TO GO,NULL,Credit Card,17,Friday
18353,TOGO,NULL,TOGO,2026-07-17 17:32:00.0000000,0.5,191646,TO GO,NULL,Credit Card,17,Friday
18354,Tendon,NULL,Side Orders,2026-07-17 17:32:00.0000000,7.99,191647,TO GO,NULL,Credit Card,17,Friday
18355,NO MEAT PHO LARGE,NULL,Pho,2026-07-17 17:35:00.0000000,12.99,191648,TABLE,A3,Credit Card,17,Friday
18356,"Brisket, Fatty, Flank & Tendon",Small,Pho,2026-07-17 17:35:00.0000000,14.99,191648,TABLE,A3,Credit Card,17,Friday
18357,Chicken Fried Rice,NULL,Fried Rice,2026-07-17 17:35:00.0000000,15.49,191648,TABLE,A3,Credit Card,17,Friday
18358,Kid's Meal,NULL,Kid's Meal,2026-07-17 17:35:00.0000000,10.99,191648,TABLE,A3,Credit Card,17,Friday
18359,Fried Roll,NULL,Appetizer,2026-07-17 17:35:00.0000000,3.25,191648,TABLE,A3,Credit Card,17,Friday
1836,Pork,NULL,Grilled & Wok,2026-06-06 22:13:00.0000000,15.49,185879,TO GO,NULL,Credit Card,22,Saturday
18360,Spring Roll,NULL,Appetizer,2026-07-17 17:35:00.0000000,3.25,191648,TABLE,A3,Credit Card,17,Friday
18361,Fried Roll,NULL,Appetizer,2026-07-17 17:39:00.0000000,3.25,191649,TO GO,NULL,Credit Card,17,Friday
18362,Steak,Large,Pho,2026-07-17 17:39:00.0000000,15.99,191649,TO GO,NULL,Credit Card,17,Friday
18363,Seafood,NULL,Pho,2026-07-17 17:39:00.0000000,17.49,191649,TO GO,NULL,Credit Card,17,Friday
18364,Vege & Tofu,Small,Pho,2026-07-17 17:39:00.0000000,14.99,191649,TO GO,NULL,Credit Card,17,Friday
18365,Lychee,+1 add-in,Bubble Juice,2026-07-17 17:39:00.0000000,6.98,191649,TO GO,NULL,Credit Card,17,Friday
18366,BBQ Pork Spring Roll,NULL,Appetizer,2026-07-17 17:39:00.0000000,4.99,191649,TO GO,NULL,Credit Card,17,Friday
18367,TOGO,NULL,TOGO,2026-07-17 17:39:00.0000000,0.5,191649,TO GO,NULL,Credit Card,17,Friday
18368,TOGO,NULL,TOGO,2026-07-17 17:39:00.0000000,0.5,191649,TO GO,NULL,Credit Card,17,Friday
18369,Chicken,Small,Pho,2026-07-17 17:41:00.0000000,14.99,191650,TABLE,C3,Credit Card,17,Friday
1837,Steak,Large,Pho,2026-06-06 22:13:00.0000000,15.99,185879,TO GO,NULL,Credit Card,22,Saturday
18370,Steak & Meat Balls,Large,Pho,2026-07-17 17:41:00.0000000,15.99,191650,TABLE,C3,Credit Card,17,Friday
18371,Spring Roll,NULL,Appetizer,2026-07-17 17:41:00.0000000,3.25,191650,TABLE,C3,Credit Card,17,Friday
18372,Steak,Small,Pho,2026-07-17 17:41:00.0000000,14.99,191650,TABLE,C3,Credit Card,17,Friday
18373,Brisket,Large,Pho,2026-07-17 17:52:00.0000000,15.99,191651,TO GO,NULL,Cash,17,Friday
18374,Steak & Meat Balls,Small,Pho,2026-07-17 17:52:00.0000000,14.99,191651,TO GO,NULL,Cash,17,Friday
18375,Fried Roll,NULL,Appetizer,2026-07-17 17:52:00.0000000,3.25,191652,TO GO,NULL,Credit Card,17,Friday
